,application,transcript
0,2023_Rice_2cTYC48ZCB8.mp3," Hi everyone, my name is Serubi and I am the co-founder of Quentinx. How many of you here have tried on a virtual reality headset? Well, I am sure you all agree that there's no fun in being in a virtual world where you cannot touch or interact with virtual objects. And we are revolutionizing the way you interact with these virtual objects by building the haptic feedback gloves called extangible. Extangible means extended touch and you can touch, interact and feel virtual objects in virtual world. Three types of feedback lets you feel the recoil of a gun or even feel the texture of a ball in a virtual world. So while our focus is currently in gaming, we believe that we have the potential to transform markets like healthcare, digital education and even robotics. we are so excited to be here as well as the forefront of this emerging technology. And I will be very glad to share our vision with you all. Thank you."
1,2023_Rice_RKXMWEX2df8.mp3," Hello, take a look to the person next to you and then turn your head to the other person next to you. The sad truth is one of you three is going to have cardiovascular disease. What a downer, right? So here's the thing, you won't even know about it because most of the diagnostic tests that we have now are grossly inadequate. So think about when you go to your doctor and you get your blood drawn and you get a lip test and LDL or a total cholesterol. It turns out that one of three people is misdiagnosed either because they have a comorbidity or they are taking a medication that causes it to be inaccurate. My name is Mohammed Zayad. I am a vascular surgeon and I went to graduate school in business so I can start a company to learn how to do a better way of diagnosing cardiovascular disease. And we have developed a new blood test that's equally cost effective and more diagnostic than the current standard of care. We have a United States issued patent on this technology and we can use this in the clinic both as an outpatient, inpatient or any setting at the same exact mechanism. we are here to raise our seed round to be able to seek FDA approval without a clinical trial. Join us in revolutionizing cardiovascular diagnosis."
2,2023_Rice_KzcGA7Leq8E.mp3," Today, millions of patients suffer from a lack of effective medication. This is because the drug development process is costly and ineffective. It costs between $1 and $6 billion to take a single drug from the lab all the way through human clinical trials where they fail over 90% of the time. This is because pre-chinnacle animal models, a highly utilized step in the drug development process, consistently failed to predict clinical success. This is because these models are conducted thousands of different ways with no scientific rationale, why one set of experimental conditions are chosen over another. This is because these models would take years for scientists to manually identify the best conditions. At modern vivo, we are developing an AI-enabled software suite to help scientists automatically identify what model conditions are most associated with clinical success. And together, we can help get more effective drugs into the clinic, reduce the number of animals used in pre-chinnacle experiments, and get millions of dollars in revenue for our clients. Thank you."
3,2023_Rice_R2Ax0AucAJg.mp3," Hi, my name is Spencer and I have two secrets for you. One, crunchysy sucks and then two, the medications for crunchysy, is also suck. So what I mean is that these drugs are ineffective and expensive and if you are one of roughly one and a half million patients in US today, there is an 80% chance that you are going to have surgical intervention to resolve the inflammation in your gut as a result of crunchysy. So, imagine going to the hospital every six weeks, paying $30,000 for a name brand biological infusion only for 95% of that drug to be wasted and diluted throughout your blood stream, getting as much effective and ingredient in your toe as you are getting in the symptom act tissue in your gut. And as you list, we are creating the first bi-resorable drug delivery patch to locally deliver a drug at the symptom act site of tissue, constant training drug where it's needed most. This is an out of mind solution for patients with no drugs, sorry, with no infusions, no injections and no surgery. We have an expedient path to market and we look forward to including you in our pre-seat ground. Thank you."
4,2023_Rice_vS-zu4gdo0s.mp3," Imagine you were one of the million families in the US today whose child is at risk of developing heart failure, a lifelong condition. And when you go home, there are no methods to monitor your child's progression. So you rely on qualitative symptoms like fussiness and fatigue, which often appear too late. This results in a re-hospitalization rate of 50% in this population. My name is Carter Galki, a co-founder and CTO Mirhardt, where our device measures central Venus pressure noninvasively in the at home setting. Central Venus pressure is the main metric used for medication decisions in pediatric heart failure. This will allow for medications to be changed at home to allow these children to stay with their families. Our device is fully reimbursed through already existing pathways, which will allow families to know out of pocket costs. And we will save $14,000 per patient who use our device through the reduction in hospitalizations. Mirhardt will give these children and their families the care they deserve from the comfort of their own home. Thank you."
5,2023_Rice_410s5BmZseY.mp3," Hi, I am Gene Wei from Lupex and a Thomas driving solution provider for on-ground mining. Did you know that more than a hundred thousand on-ground miners are putting their live-ad risk due to the collision with every heavy machinery? In fact, hundreds of tragic of fatal fatalities and injuries occurred every year due to the collisions tearing thousands of families apart and costing hundreds of million dollar losses in industry. To eliminate that risk, we have collision alert by Lupex. This add-on little box was attached on a mining vehicle and it can detect the surrounding object nearby and alert drivers when they are at the near collision zone. With a price of ten thousand US dollar, it could totally eliminate improve the mining safety situation in the world via region. So let us work together and make that happen. Thank you."
6,2023_Rice_yzpUuwjBpoY.mp3," Hi everyone, I am Selan PhDC Biotechnologist and the founder of ArcBio. I came from Istanbul Turkey. The carbon dioxide level in atmosphere reached the alarming levels. This is because of the greenhouse gas emissions from the facilities. This charging capacity, wastewater from the same facilities into ocean is creating problems like misalash, ocean acidification. So, I graduated in the steel waste water and kept to carbon dioxide with microalgae to produce biofuels, bioplastics and generate carbon credits. For one acre of algae, I graduated from the potential to remove up to 2.7 tons of carbon dioxide per day. We are the proud member of the Green Town Houston and the alumnum of the mass-change early stage board in the United States and the service airlines. Our customers consist of the production facilities, municipalities, industrialists or distributual licensed oil companies, marine and aviation sectors. We are now raising of $2.5 million seed for the development of the deep tech. Please join us and see more please search for iqbal.com. So, I shall thank you."
7,2023_Rice_XRagKuHuvtQ.mp3," Imagine you manufacture the blades that go on wind energy turbines. Over the last two years, demand for your products have skyrocketed as demand for renewables is increased, but you've really struggled to keep up. The order books have exploded, and it's simply too costly to scale up that quickly. As you realize that you are the slowest part of this supply chain, and you are actively becoming the bottleneck in the transition to green energy, you realize you need to find a solution that allows you to do more with what you already have. Hi, we are per se as materials. And we are a group of Stanford researchers that have spent, you know, we are really passionate about this problem space, and we've spent time and lab developing a new composite material that actually solves a lot of these problems. By using substantially less time, labor, and lower cost, we are actually able to bring down the cost and composite materials to allow these companies to, you know, actually implement these solutions. But we are not just talking about wind markets. This is an application that is an aerospace automotive as well as brand new markets. we are excited about the transition to clean energy, and we are excited to create a low GHG emission composite material."
8,2023_Rice_w27p4_IHnZ4.mp3," Through 26th year, the global urban environment will double. That's equivalent to building a new New York city every single month through 26th year. But what a lot of people don't know is that for a new building, half of the environmental impact comes before you even turn on the light the first time or get the key to a new house. It's from the embodied carbon of the wall I am standing on all the desk here. Today, real estate developers pay hundreds of thousands of dollars for embodied carbon analysis that's produced manually. At Parkways, we can automate that. I am Lisa Sanha and I am one of the three co-founders. Last year, we launched our first product integrating directly with 3D CAD software and we have more than 1100 architects using this to map embodied carbon. We can now use this data we have available to automate manual processes. We've just kicked off a pre-seed race of 1.2 million. We already have 200K commissed and we want to invite you to join us in decabiniting the built environment. Thank you very much. Thank you."
9,2023_Rice_0WrwCbAD1ms.mp3," I am Ron. Hi everyone. My name is Sean Sinu and I am the co-founder and CEO of Boston Quantum Astada Working to disrupt the financial industry with the scalability and speed of quantum computing enterprise software. Boston Quantum includes a talented team of three MIT PhDs and two MIT MBAs with deep experience built at the likes of McKinsey, Goldman Sachs, Credit Suisse, Meta, Regatee and AWS. And we have 16 years of experience collectively of building quantum computing hardware and software. And currently we are working to deploy our quantum algorithms to rapidly detect complex arbitrage opportunities with our three institutional clients in the FX and crypto space. A space with a obtainable market of $10 billion dollars. A long-term Boston Quantum's vision is to lead the quantum computing disruption in the financial industry by scaling other products in the greedy optimization, portfolio optimization and fraud detection. Thanks so much for your time and happy to chat afterwards."
10,2023_Rice_vqUVxbD2NLA.mp3," I am Shia from Active Services and we are reimagining solar. Who here has seen a solar panel? they are around yay big, weigh 50 to 60 pounds, and they are in case and thick glass. Why? they are heavy and flexible, because silicon is a ceramic and it's fragile. But what if you thought about solar differently? What if you could put solar on any surface and make it active? That's what we do. Our MIT developed technology makes solar panels 120 times lighter. they are thinner than a human hair. Our B-Chead Market of Criminal Social Ware Housing only has 3% of rooftop PV today. That's $300 billion in market potential just because it can't handle the weight of solar. Our team is the one to unlock this capability. We are coming from MIT. We have industry leading advisors, we are a part of the best climate take accelerators in the program. And we have industry researchers helping us. If you can envision a future, or any surface is active, then join us."
11,2023_Rice_eM7wq-zFHbI.mp3," Good evening. This is Jack. Check out cancer after jaw. Surgeons have to remove it and replace it with a bone transplant from his leg. Today this is largely done by estimation and gut feeling. Would you want that? No. Neither would hundreds of thousands of patients who undergo cancer and accident surgeries every year. We believe they deserve precision and accuracy. I am Thomas co-founder of Inzipia from Arthur Germany. Our pattern and system for surgical planning uses our state-of-the-art AI technology. Preclinic studies have shown our solution can make surgical planning 90% faster and 50% cheaper than today's procedures. While improving patient outcomes, we are here to raise $3 million to get FDA approval and take our product into the clinics. We are Inzipia and we are shaping the future of surgical planning."
12,2023_Rice_yWUMTVJqlHw.mp3," There are over 100 million dogs who suffer from food allergies. Chicken and beef are the two most common allergens. Yet unfortunately, they are the most prevalent ingredients found in our pets food, which leads to one-third of the livestock industry being used to feed our pets, which creates a huge impact on the environment. Large pet food uses insect protein, which is hypoallergenic, sustainable, and more nutritious than chicken or beef. We have the first functional, sustainable treat on the market, and with our pet and pending hypoallergenic food, we also have the pet and pending hypoallergenic food made with insects. Sorry, lost entrance author. Pet food market is expected to double over the course of the next 10 years. Our early investors, Ushakago and tech stars are bugging out about our potential. We invite you to join us as we look to bridge the gap and build a cleaner future for thinking proteins and a happier pop. Thank you."
13,2023_Rice_iyps_vov3mw.mp3," Hi, I am Connor Crawford, CEO and co-founder of PICRA Botox. PICRA spun at a UT Austin and originally funded by Philips to see six to help with the real need they have for maintaining their product storage and refining facilities. There are 170,000 petrochemical storage tanks which use floating roots to sit atop liquid fuel. These tanks require regular safety and emissions inspections, but there are significant concerns with the current method, including safety of human crews in the financial cost of taking a tank offline. To address these problems, PICRA developed an autonomous explosion proof while climbing a robot equipped with a state of the yard sensor suite. This robot produces the same result that a human crew does but does the job faster and to a higher level of accuracy. Our business model is robots as a service, we build a customer on a recurring basis after each inspection visit to a tank site. We have two pending utility patents. We perform three demos with potential customers and we are recently contacted by Shell Game Changer about setting up a pilot study at their Deer Park refinery. we are raising a $650,000 pre-seat of which we've already closed 345,000 in large part to a national science foundation SBIR phase 1 grant. we are PICRA Botox and we are transforming inspection of energy facilities with robotics. Thank you."
14,2023_Rice_c663zRDypsA.mp3," Hi, before I get started, can I have everyone take a deep breath? Thank you. My name is Javanace Santos and I am the CEO and co-founder of Myloa Health. Myloa Health is an ad-powered care coordination service that detects and manages the risk of pregnancy related complications. We are a B2B SaaS company that charges a licensing fee on an allied health professional basis to decrease costs and improve outcomes for health plans, risk-bearing providers and community-based organizations. We have the earliest risk detection of maternal depression on the market. We can predict depression in the postpartum period as early as the first trimester at a 94% accuracy level. Our models power our provider dashboard and our SMS and mobile application that we give to moms. We raised $648,000 for VC backed and also most notably were backed by NIH. We will be the first downward trend in maternal mortality rate that this nation has ever experienced and I hope that you want to join us. We are raising $2 million on a safe and if you are interested please see me after. Thank you so much. Thank you."
15,2023_Rice_h8GJpSCt6uk.mp3," Signes Solutions is focused on solving a $200 billion problem, eliminating PFAS or toxic forever chemicals. PFAS is linked to serious health issues including cancer, is in our water and new sources are found daily. Odds are U and I have PFAS in our blood, 99% of Americans do. I am Dana, I am the Chief Commercial Officer and co-founder at Signes Solutions where our mission is to forever eliminate forever chemicals. Current solutions remove PFAS, but they leave costly hazardous waste. With upcoming federal regulation, Signes is ready to be the breakthrough technology to eliminate this problem. Our product permanently destroys PFAS using light and purgon, our patent pending material that is non-toxic, reusable and scalable. We remove liability and we bring decreased costs to our customers. We are looking forward to our pilot, the small, amyere seeking funding and key partners to support us in this journey. Join us at Signes Solutions as we forever eliminate forever chemicals. Thank you."
16,2023_Rice_v1aqCAAg2I4.mp3," You know when you get in your car, the first thing that you need to do before you get it to move is you've got to put it in gear. Here's your everywhere from aircraft to submarines to medical devices and whether you are in a harsh environment or in an everyday environment, you need a gear that never fails. Hi, my name is Brighton, I got my PhD in electrical engineering nine and a half hours ago. Hello. On the founder and CEO of FlexWorks and we are putting a new spin on this fundamental technology. Our protected magnetic year technology offers contactless lubrication free self-healing properties and it has physically demonstrated over 99% efficiency and four times quieter operation. It offers unprecedented reliability from outer space to under the seat to even inside the human body. While our hub zone certified venture has unique defense and space commercialization opportunities, we also already have commercial contracts and automotive and aviation. With your help, we hope to commercialize this premium gear solution. Thank you."
17,2023_Rice_z1vrpbHQAuU.mp3," Hi, I am Angela. I am a third year medical student and in the next two years I am going to have to decide what kind of doctor I want to be for the rest of my life. There is a lot to do. There is not a lot of time to do it and there is no centralized tooling to help me make it happen. School administrators also struggle to support students through this chaos and as a result 20% of medical students don't get into residency Meaning they cannot practice medicine in the United States. So this is why we made Vivicaali a platform that consolidates the innumerable tool students are currently forced to use and Organize the student obligations all in one place. Vivicaali simplifies the most disorderly yet critical years of medical school. Students get a big picture of you while administrators get to student data insights into what they are doing so everyone gets to focus on what matters like getting into residency. We have widespread support back home at Penn and we plan on launching there this winter. We hope you'll join us for the journey. Thank you so much."
18,2023_Rice_vew0cRA-qSs.mp3," Good evening. Every day, our planet generates 200 empiced state buildings of garbage. Every year, we throw away materials that are potentially worth $450 billion while polluting a planet. We are trash-trap, riding to the rescue, returning the world's trash to cash. We are taking holistic approach to waste management, and we have six patentable technologies that allow all trash to be either recycled or reused. Nothing going into landfills reverse or oceans. All mixed waste is either segregated into recyclables or converted to value added products. We are seeking a seed investment of $2 million to build a commercial scale pilot plant of a sorting facility. Please join us in a quest for a cleaner and greener planet by converting the world's trash to cash. Thank you."
19,2023_Rice_ytNyn_Gtf_g.mp3," Marden 3000 board games are allowed every year, but can never reach the ordinary player. People still only know about Monopoly and Uno. Bordable is a mobile board game platform, created to improve awareness and accessibility of board games. For players, we offer a portfolio of different games that can be played online or in person. We have a TV mobile setting that is great for groups and doesn't require any other external device besides a smart TV and your phone. For publishers, we understand that marketing a board game is very expensive. And we are their new distribution channel and we are fast. In fact, we are creating a board game engine that we allow publishers to design, develop and launch their own board games on our platform without our help or programming skills. We have just reached a thousand weekly active users and we can't wait to get a hundred board games in your phone."
